runID,stimulus,rxnTime,sessionNum,LED,target,RH,LH,RM,LM,NG,Spout_1,Spout_2,latency
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.3333333333333333,0.5866666666666667,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.14666666666666667,0.13333333333333333,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.09333333333333334,0.08,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.13333333333333333,0.44,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.08,0.16,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
5.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.28,0.0,
5.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
6.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
6.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
6.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
6.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
6.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
6.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
6.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
6.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
6.0,2.0,-1.0,1.0,False,0.0,False,False,False,False,False,0.0,0.0,
6.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.16,
6.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,False,0.0,0.0,
7.0,2.0,737.0,1.0,False,0.0,False,False,False,True,False,0.0,0.4266666666666667,37.0
7.0,2.828427,954.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,228.0
7.0,22.627417,1044.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,275.0
7.0,32.0,1357.0,1.0,False,1.0,True,False,False,False,False,0.0,0.0,433.0
7.0,22.627417,-1.0,1.0,False,1.0,False,False,False,False,True,0.0,0.0,
7.0,2.828427,1490.0,1.0,False,0.0,False,False,False,True,False,0.0,0.0,497.0
7.0,32.0,-1.0,1.0,False,1.0,False,False,False,False,True,0.0,0.0,
