runID,stimulus,rxnTime,sessionNum,LED,target,earlyRxn,RH,LH,RM,LM,NG,earlyLick_0,earlyLick_1,earlyLick_2,earlyLick_3,earlyLick_4,latency
8.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
8.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
8.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
8.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
8.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
8.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
8.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
8.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
9.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,
10.0,32.0,835.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,835.0
10.0,2.0,242.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,242.0
10.0,32.0,1257.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,1257.0
10.0,2.0,377.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,377.0
10.0,2.0,766.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,766.0
10.0,32.0,945.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,945.0
10.0,2.0,827.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,827.0
10.0,32.0,352.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,352.0
10.0,32.0,792.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,792.0
10.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
10.0,2.0,909.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,909.0
10.0,32.0,735.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,735.0
10.0,32.0,707.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,707.0
10.0,2.0,823.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,823.0
10.0,2.0,794.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,794.0
10.0,32.0,734.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,734.0
10.0,32.0,898.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,898.0
10.0,2.0,783.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,783.0
10.0,32.0,366.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,366.0
10.0,2.0,842.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,842.0
11.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
11.0,32.0,1398.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,1398.0
11.0,2.0,925.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,925.0
11.0,32.0,797.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,797.0
11.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
11.0,32.0,1397.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,1397.0
11.0,32.0,802.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,802.0
11.0,2.0,931.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,931.0
11.0,2.0,957.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,957.0
11.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
11.0,2.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
11.0,32.0,845.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,845.0
11.0,2.0,1876.0,1.0,False,0.0,-1.0,False,True,False,False,False,0.0,0.0,0.0,0.0,1.0,1876.0
11.0,32.0,-1.0,1.0,False,0.0,-1.0,False,False,False,False,True,0.0,0.0,0.0,0.0,1.0,
